date,city,confirmed,recovered,deceased,delta_confirmed,delta_recovered
2020-04-26,Bokaro,10,4,1, 0,0
2020-04-26,Deoghar,2,0,0, 0,0
2020-04-26,Dhanbad,2,0,0, 0,0
2020-04-26,Garhwa,3,0,0, 0,0
2020-04-26,Giridih,1,0,0, 0,0
2020-04-26,Hazaribagh,3,2,0, 0,0
2020-04-26,Koderma,1,0,0, 0,0
2020-04-26,Palamu,3,0,0, 0,0
2020-04-26,Ranchi,55,6,2, 0,0
2020-04-26,Simdega,2,1,0, 0,0
2020-04-27,Bokaro,10,4,1, 0,0
2020-04-27,Deoghar,2,0,0, 0,0
2020-04-27,Dhanbad,2,0,0, 0,0
2020-04-27,Garhwa,3,0,0, 0,0
2020-04-27,Giridih,1,0,0, 0,0
2020-04-27,Hazaribagh,3,2,0, 0,0
2020-04-27,Jamtara,1,0,0,1,0
2020-04-27,Koderma,1,0,0, 0,0
2020-04-27,Palamu,3,0,0, 0,0
2020-04-27,Ranchi,75,10,2,20,4
2020-04-27,Simdega,2,1,0, 0,0
2020-04-28,Bokaro,10,4,1, 0,0
2020-04-28,Deoghar,2,0,0, 0,0
2020-04-28,Dhanbad,2,2,0, 0,2
2020-04-28,Garhwa,3,0,0, 0,0
2020-04-28,Giridih,1,0,0, 0,0
2020-04-28,Hazaribagh,3,2,0, 0,0
2020-04-28,Jamtara,1,0,0, 0,0
2020-04-28,Koderma,1,0,0, 0,0
2020-04-28,Palamu,3,0,0, 0,0
2020-04-28,Ranchi,77,10,2,2,0
2020-04-28,Simdega,2,1,0, 0,0
2020-04-29,Bokaro,10,4,1, 0,0
2020-04-29,Deoghar,2,0,0, 0,0
2020-04-29,Dhanbad,2,2,0, 0,0
2020-04-29,Garhwa,3,0,0, 0,0
2020-04-29,Giridih,1,0,0, 0,0
2020-04-29,Hazaribagh,3,2,0, 0,0
2020-04-29,Jamtara,2,0,0,1,0
2020-04-29,Koderma,1,0,0, 0,0
2020-04-29,Palamu,3,0,0, 0,0
2020-04-29,Ranchi,78,10,2,1,0
2020-04-29,Simdega,2,1,0, 0,0
2020-04-30,Bokaro,10,4,1, 0,0
2020-04-30,Deoghar,2,0,0, 0,0
2020-04-30,Dhanbad,2,2,0, 0,0
2020-04-30,Garhwa,3,0,0, 0,0
2020-04-30,Giridih,1,0,0, 0,0
2020-04-30,Hazaribagh,3,2,0, 0,0
2020-04-30,Jamtara,2,0,0, 0,0
2020-04-30,Koderma,1,0,0, 0,0
2020-04-30,Palamu,3,0,0, 0,0
2020-04-30,Ranchi,81,10,2,3,0
2020-04-30,Simdega,2,1,0, 0,0
2020-05-01,Bokaro,10,6,1, 0,2
2020-05-01,Deoghar,2,0,0, 0,0
2020-05-01,Dhanbad,2,2,0, 0,0
2020-05-01,Garhwa,3,0,0, 0,0
2020-05-01,Giridih,1,0,0, 0,0
2020-05-01,Godda,1,0,0,1,0
2020-05-01,Hazaribagh,3,2,0, 0,0
2020-05-01,Jamtara,2,0,0, 0,0
2020-05-01,Koderma,1,0,0, 0,0
2020-05-01,Palamu,3,0,0, 0,0
2020-05-01,Ranchi,83,10,2,2,0
2020-05-01,Simdega,2,1,0, 0,0
2020-05-02,Bokaro,10,6,1, 0,0
2020-05-02,Deoghar,4,0,0,2,0
2020-05-02,Dhanbad,2,2,0, 0,0
2020-05-02,Garhwa,3,0,0, 0,0
2020-05-02,Giridih,1,0,0, 0,0
2020-05-02,Godda,1,0,0, 0,0
2020-05-02,Hazaribagh,3,3,0, 0,1
2020-05-02,Jamtara,2,0,0, 0,0
2020-05-02,Koderma,1,0,0, 0,0
2020-05-02,Palamu,3,0,0, 0,0
2020-05-02,Ranchi,83,10,2, 0,0
2020-05-02,Simdega,2,1,0, 0,0
2020-05-03,Bokaro,10,6,1, 0,0
2020-05-03,Deoghar,4,2,0, 0,2
2020-05-03,Dhanbad,2,2,0, 0,0
2020-05-03,Garhwa,3,0,0, 0,0
2020-05-03,Giridih,1,0,0, 0,0
2020-05-03,Godda,1,0,0, 0,0
2020-05-03,Hazaribagh,3,3,0, 0,0
2020-05-03,Jamtara,2,0,0, 0,0
2020-05-03,Koderma,1,0,0, 0,0
2020-05-03,Palamu,3,0,0, 0,0
2020-05-03,Ranchi,83,13,2, 0,3
2020-05-03,Simdega,2,1,0, 0,0
2020-05-04,Bokaro,10,6,1, 0,0
2020-05-04,Deoghar,4,2,0, 0,0
2020-05-04,Dhanbad,2,2,0, 0,0
2020-05-04,Garhwa,3,0,0, 0,0
2020-05-04,Giridih,1,0,0, 0,0
2020-05-04,Godda,1,0,0, 0,0
2020-05-04,Hazaribagh,3,3,0, 0,0
2020-05-04,Jamtara,2,0,0, 0,0
2020-05-04,Koderma,1,0,0, 0,0
2020-05-04,Palamu,3,0,0, 0,0
2020-05-04,Ranchi,83,13,2, 0,0
2020-05-04,Simdega,2,1,0, 0,0
2020-05-05,Bokaro,10,6,1, 0,0
2020-05-05,Deoghar,4,2,0, 0,0
2020-05-05,Dhanbad,2,2,0, 0,0
2020-05-05,Dumka,2,0,0,2,0
2020-05-05,Garhwa,3,0,0, 0,0
2020-05-05,Giridih,1,0,0, 0,0
2020-05-05,Godda,1,0,0, 0,0
2020-05-05,Hazaribagh,3,3,0, 0,0
2020-05-05,Jamtara,2,0,0, 0,0
2020-05-05,Koderma,1,1,0, 0,1
2020-05-05,Palamu,3,0,0, 0,0
2020-05-05,Ranchi,91,18,2,8,5
2020-05-05,Simdega,2,1,0, 0,0
2020-05-06,Bokaro,10,6,1, 0,0
2020-05-06,Deoghar,4,2,0, 0,0
2020-05-06,Dhanbad,2,2,0, 0,0
2020-05-06,Dumka,2,0,0, 0,0
2020-05-06,Garhwa,3,0,0, 0,0
2020-05-06,Giridih,1,0,0, 0,0
2020-05-06,Godda,1,0,0, 0,0
2020-05-06,Hazaribagh,3,3,0, 0,0
2020-05-06,Jamtara,2,0,0, 0,0
2020-05-06,Koderma,1,1,0, 0,0
2020-05-06,Palamu,3,0,0, 0,0
2020-05-06,Ranchi,93,22,2,2,4
2020-05-06,Simdega,2,1,0, 0,0
2020-05-07,Bokaro,10,9,1, 0,3
2020-05-07,Deoghar,4,2,0, 0,0
2020-05-07,Dhanbad,2,2,0, 0,0
2020-05-07,Dumka,2,0,0, 0,0
2020-05-07,Garhwa,3,0,0, 0,0
2020-05-07,Giridih,1,1,0, 0,1
2020-05-07,Godda,1,0,0, 0,0
2020-05-07,Hazaribagh,3,3,0, 0,0
2020-05-07,Jamtara,2,0,0, 0,0
2020-05-07,Koderma,1,1,0, 0,0
2020-05-07,Palamu,8,0,0,5,0
2020-05-07,Ranchi,93,22,2, 0,0
2020-05-07,Simdega,2,1,0, 0,0
2020-05-08,Bokaro,10,9,1, 0,0
2020-05-08,Deoghar,4,2,0, 0,0
2020-05-08,Dhanbad,2,2,0, 0,0
2020-05-08,Dumka,2,0,0, 0,0
2020-05-08,Garhwa,23,0,0,20,0
2020-05-08,Giridih,1,1,0, 0,0
2020-05-08,Godda,1,0,0, 0,0
2020-05-08,Hazaribagh,3,3,0, 0,0
2020-05-08,Jamtara,2,0,0, 0,0
2020-05-08,Koderma,3,1,0,2,0
2020-05-08,Palamu,8,0,0, 0,0
2020-05-08,Ranchi,93,22,2, 0,0
2020-05-08,Simdega,2,1,0, 0,0
2020-05-09,Bokaro,10,9,1, 0,0
2020-05-09,Deoghar,4,2,0, 0,0
2020-05-09,Dhanbad,4,2,0,2,0
2020-05-09,Dumka,2,0,0, 0,0
2020-05-09,Garhwa,23,2,0, 0,2
2020-05-09,Giridih,1,1,0, 0,0
2020-05-09,Godda,1,0,0, 0,0
2020-05-09,Hazaribagh,3,3,0, 0,0
2020-05-09,Jamtara,2,0,0, 0,0
2020-05-09,Koderma,3,1,0, 0,0
2020-05-09,Palamu,8,3,0, 0,3
2020-05-09,Ranchi,93,53,2, 0,31
2020-05-09,Simdega,2,2,0, 0,1
2020-05-10,Bokaro,10,9,1, 0,0
2020-05-10,Deoghar,4,2,0, 0,0
2020-05-10,Dhanbad,4,2,0, 0,0
2020-05-10,Dumka,2,0,0, 0,0
2020-05-10,Garhwa,23,2,0, 0,0
2020-05-10,Giridih,1,1,0, 0,0
2020-05-10,Godda,1,0,0, 0,0
2020-05-10,Hazaribagh,4,3,0,1,0
2020-05-10,Jamtara,2,0,0, 0,0
2020-05-10,Koderma,3,1,0, 0,0
2020-05-10,Palamu,8,3,0, 0,0
2020-05-10,Ranchi,93,53,2, 0,0
2020-05-10,Simdega,2,2,0, 0,0
2020-05-11,Bokaro,10,9,1, 0,0
2020-05-11,Deoghar,4,2,0, 0,0
2020-05-11,Dhanbad,4,2,0, 0,0
2020-05-11,Dumka,2,0,0, 0,0
2020-05-11,Garhwa,23,2,0, 0,0
2020-05-11,Giridih,4,1,0,3,0
2020-05-11,Godda,1,0,0, 0,0
2020-05-11,Hazaribagh,4,3,0, 0,0
2020-05-11,Jamtara,2,0,0, 0,0
2020-05-11,Koderma,3,1,0, 0,0
2020-05-11,Palamu,8,3,0, 0,0
2020-05-11,Ranchi,94,53,2,1,0
2020-05-11,Simdega,2,2,0, 0,0
2020-05-12,Bokaro,10,9,1, 0,0
2020-05-12,Deoghar,4,2,0, 0,0
2020-05-12,Dhanbad,4,2,0, 0,0
2020-05-12,Dumka,2,0,0, 0,0
2020-05-12,East Singhbhum,1,0,0,1,0
2020-05-12,Garhwa,23,2,0, 0,0
2020-05-12,Giridih,7,1,0,3,0
2020-05-12,Godda,1,0,0, 0,0
2020-05-12,Hazaribagh,10,3,0,6,0
2020-05-12,Jamtara,2,0,0, 0,0
2020-05-12,Koderma,3,1,0, 0,0
2020-05-12,Palamu,8,3,0, 0,0
2020-05-12,Ranchi,95,54,2,1,1
2020-05-12,Simdega,2,2,0, 0,0
2020-05-13,Bokaro,10,9,1, 0,0
2020-05-13,Deoghar,4,2,0, 0,0
2020-05-13,Dhanbad,4,2,0, 0,0
2020-05-13,Dumka,2,0,0, 0,0
2020-05-13,East Singhbhum,2,0,0,1,0
2020-05-13,Garhwa,23,3,0, 0,1
2020-05-13,Giridih,6,1,0,-1,0
2020-05-13,Godda,1,0,0, 0,0
2020-05-13,Hazaribagh,10,3,0, 0,0
2020-05-13,Jamtara,2,0,0, 0,0
2020-05-13,Koderma,5,1,0,2,0
2020-05-13,Latehar,1,0,0,1,0
2020-05-13,Palamu,8,3,0, 0,0
2020-05-13,Ranchi,97,61,2,2,7
2020-05-13,Simdega,2,2,0, 0,0
2020-05-14,Bokaro,10,9,1, 0,0
2020-05-14,Deoghar,4,2,0, 0,0
2020-05-14,Dhanbad,4,2,0, 0,0
2020-05-14,Dumka,2,0,0, 0,0
2020-05-14,East Singhbhum,3,0,0,1,0
2020-05-14,Garhwa,23,3,0, 0,0
2020-05-14,Giridih,10,1,0,4,0
2020-05-14,Godda,1,0,0, 0,0
2020-05-14,Hazaribagh,18,3,0,8,0
2020-05-14,Jamtara,2,0,0, 0,0
2020-05-14,Koderma,6,1,0,1,0
2020-05-14,Latehar,1,0,0, 0,0
2020-05-14,Palamu,15,3,0,7,0
2020-05-14,Ranchi,102,61,2,5,0
2020-05-14,Simdega,2,2,0, 0,0
2020-05-15,Bokaro,10,9,1, 0,0
2020-05-15,Deoghar,4,2,0, 0,0
2020-05-15,Dhanbad,5,2,0,1,0
2020-05-15,Dumka,2,0,0, 0,0
2020-05-15,East Singhbhum,3,0,0, 0,0
2020-05-15,Garhwa,27,3,0,4,0
2020-05-15,Giridih,10,1,0, 0,0
2020-05-15,Godda,1,0,0, 0,0
2020-05-15,Hazaribagh,21,3,0,3,0
2020-05-15,Jamtara,2,0,0, 0,0
2020-05-15,Koderma,6,1,0, 0,0
2020-05-15,Latehar,1,0,0, 0,0
2020-05-15,Palamu,15,3,0, 0,0
2020-05-15,Ranchi,102,71,2, 0,10
2020-05-15,Simdega,2,2,0, 0,0
2020-05-16,Bokaro,10,9,1, 0,0
2020-05-16,Deoghar,4,4,0, 0,2
2020-05-16,Dhanbad,5,2,0, 0,0
2020-05-16,Dumka,2,2,0, 0,2
2020-05-16,East Singhbhum,4,0,0,1,0
2020-05-16,Garhwa,28,3,0,1,0
2020-05-16,Giridih,10,1,0, 0,0
2020-05-16,Godda,1,0,0, 0,0
2020-05-16,Hazaribagh,24,3,0,3,0
2020-05-16,Jamtara,2,0,0, 0,0
2020-05-16,Koderma,6,1,0, 0,0
2020-05-16,Latehar,1,0,0, 0,0
2020-05-16,Palamu,15,3,0, 0,0
2020-05-16,Ranchi,103,83,2,1,12
2020-05-16,Simdega,2,2,0, 0,0
2020-05-17,Bokaro,10,9,1, 0,0
2020-05-17,Deoghar,5,4,0,1,0
2020-05-17,Dhanbad,5,2,0, 0,0
2020-05-17,Dumka,2,2,0, 0,0
2020-05-17,East Singhbhum,4,0,0, 0,0
2020-05-17,Garhwa,28,3,0, 0,0
2020-05-17,Giridih,10,1,0, 0,0
2020-05-17,Godda,1,0,0, 0,0
2020-05-17,Hazaribagh,25,3,0,1,0
2020-05-17,Jamtara,2,0,0, 0,0
2020-05-17,Koderma,6,1,0, 0,0
2020-05-17,Latehar,1,0,0, 0,0
2020-05-17,Lohardaga,1,0,0,1,0
2020-05-17,Palamu,15,3,0, 0,0
2020-05-17,Ramgarh,2,0,0,2,0
2020-05-17,Ranchi,104,83,2,1,0
2020-05-17,Simdega,2,2,0, 0,0
2020-05-18,Bokaro,10,9,1, 0,0
2020-05-18,Deoghar,5,4,0, 0,0
2020-05-18,Dhanbad,6,2,0,1,0
2020-05-18,Dumka,2,2,0, 0,0
2020-05-18,East Singhbhum,5,0,0,1,0
2020-05-18,Garhwa,29,3,0,1,0
2020-05-18,Giridih,10,1,0, 0,0
2020-05-18,Godda,1,1,0, 0,1
2020-05-18,Hazaribagh,26,3,0,1,0
2020-05-18,Jamtara,2,2,0, 0,2
2020-05-18,Koderma,6,1,0, 0,0
2020-05-18,Latehar,1,0,0, 0,0
2020-05-18,Lohardaga,1,0,0, 0,0
2020-05-18,Palamu,15,8,0, 0,5
2020-05-18,Ramgarh,2,0,0, 0,0
2020-05-18,Ranchi,104,89,2, 0,6
2020-05-18,Simdega,2,2,0, 0,0
2020-05-18,West Singhbhum,1,0,0,1,0
2020-05-19,Bokaro,10,9,1, 0,0
2020-05-19,Deoghar,5,4,0, 0,0
2020-05-19,Dhanbad,6,2,0, 0,0
2020-05-19,Dumka,2,2,0, 0,0
2020-05-19,East Singhbhum,6,0,0,1,0
2020-05-19,Garhwa,29,3,0, 0,0
2020-05-19,Giridih,10,1,0, 0,0
2020-05-19,Godda,1,1,0, 0,0
2020-05-19,Gumla,2,0,0,2,0
2020-05-19,Hazaribagh,32,3,0,6,0
2020-05-19,Jamtara,2,2,0, 0,0
2020-05-19,Koderma,9,1,0,3,0
2020-05-19,Latehar,4,0,0,3,0
2020-05-19,Lohardaga,2,0,0,1,0
2020-05-19,Palamu,15,8,0, 0,0
2020-05-19,Ramgarh,3,0,0,1,0
2020-05-19,Ranchi,105,89,2,1,0
2020-05-19,Saraikela-Kharsawan,1,0,0,1,0
2020-05-19,Simdega,3,2,0,1,0
2020-05-19,West Singhbhum,1,0,0, 0,0
2020-05-20,Bokaro,10,9,1, 0,0
2020-05-20,Chatra,1,0,0,1,0
2020-05-20,Deoghar,5,4,0, 0,0
2020-05-20,Dhanbad,7,2,0,1,0
2020-05-20,Dumka,2,2,0, 0,0
2020-05-20,East Singhbhum,15,0,0,9,0
2020-05-20,Garhwa,47,3,0,18,0
2020-05-20,Giridih,15,1,0,5,0
2020-05-20,Godda,1,1,0, 0,0
2020-05-20,Gumla,3,0,0,1,0
2020-05-20,Hazaribagh,33,3,0,1,0
2020-05-20,Jamtara,2,2,0, 0,0
2020-05-20,Koderma,14,1,0,5,0
2020-05-20,Latehar,4,0,0, 0,0
2020-05-20,Lohardaga,2,0,0, 0,0
2020-05-20,Palamu,15,8,0, 0,0
2020-05-20,Ramgarh,3,0,0, 0,0
2020-05-20,Ranchi,105,91,2, 0,2
2020-05-20,Saraikela-Kharsawan,2,0,0,1,0
2020-05-20,Simdega,3,2,0, 0,0
2020-05-20,West Singhbhum,1,0,0, 0,0
2020-05-21,Bokaro,10,9,1, 0,0
2020-05-21,Chatra,1,0,0, 0,0
2020-05-21,Deoghar,5,4,0, 0,0
2020-05-21,Dhanbad,7,2,0, 0,0
2020-05-21,Dumka,2,2,0, 0,0
2020-05-21,East Singhbhum,16,0,0,1,0
2020-05-21,Garhwa,47,3,0, 0,0
2020-05-21,Giridih,16,1,0,1,0
2020-05-21,Godda,1,1,0, 0,0
2020-05-21,Gumla,3,0,0, 0,0
2020-05-21,Hazaribagh,33,3,0, 0,0
2020-05-21,Jamtara,2,2,0, 0,0
2020-05-21,Koderma,16,1,0,2,0
2020-05-21,Latehar,4,0,0, 0,0
2020-05-21,Lohardaga,2,0,0, 0,0
2020-05-21,Palamu,15,15,0, 0,7
2020-05-21,Ramgarh,3,0,0, 0,0
2020-05-21,Ranchi,112,91,2,7,0
2020-05-21,Saraikela-Kharsawan,4,0,0,2,0
2020-05-21,Simdega,3,2,0, 0,0
2020-05-21,West Singhbhum,1,0,0, 0,0
2020-05-22,Bokaro,15,9,1,5,0
2020-05-22,Chatra,1,0,0, 0,0
2020-05-22,Deoghar,5,4,0, 0,0
2020-05-22,Dhanbad,7,2,0, 0,0
2020-05-22,Dumka,2,2,0, 0,0
2020-05-22,East Singhbhum,17,0,0,1,0
2020-05-22,Garhwa,47,3,0, 0,0
2020-05-22,Giridih,16,1,0, 0,0
2020-05-22,Godda,1,1,0, 0,0
2020-05-22,Gumla,3,0,0, 0,0
2020-05-22,Hazaribagh,41,3,0,8,0
2020-05-22,Jamtara,2,2,0, 0,0
2020-05-22,Koderma,16,1,0, 0,0
2020-05-22,Latehar,4,0,0, 0,0
2020-05-22,Lohardaga,2,0,0, 0,0
2020-05-22,Palamu,15,15,0, 0,0
2020-05-22,Ramgarh,6,0,0,3,0
2020-05-22,Ranchi,112,91,2, 0,0
2020-05-22,Saraikela-Kharsawan,4,0,0, 0,0
2020-05-22,Simdega,3,2,0, 0,0
2020-05-22,West Singhbhum,4,0,0,3,0
2020-05-23,Bokaro,15,9,1, 0,0
2020-05-23,Chatra,2,0,0,1,0
2020-05-23,Deoghar,5,5,0, 0,1
2020-05-23,Dhanbad,7,2,0, 0,0
2020-05-23,Dumka,2,2,0, 0,0
2020-05-23,East Singhbhum,20,0,0,3,0
2020-05-23,Garhwa,47,3,0, 0,0
2020-05-23,Giridih,16,1,0, 0,0
2020-05-23,Godda,1,1,0, 0,0
2020-05-23,Gumla,10,0,0,7,0
2020-05-23,Hazaribagh,41,3,0, 0,0
2020-05-23,Jamtara,2,2,0, 0,0
2020-05-23,Koderma,26,1,0,10,0
2020-05-23,Latehar,4,0,0, 0,0
2020-05-23,Lohardaga,2,0,0, 0,0
2020-05-23,Palamu,15,15,0, 0,0
2020-05-23,Ramgarh,6,0,0, 0,0
2020-05-23,Ranchi,114,95,2,2,4
2020-05-23,Saraikela-Kharsawan,4,0,0, 0,0
2020-05-23,Simdega,7,2,0,4,0
2020-05-23,West Singhbhum,4,0,0, 0,0
2020-05-24,Bokaro,15,9,1, 0,0
2020-05-24,Chatra,2,0,0, 0,0
2020-05-24,Deoghar,5,5,0, 0,0
2020-05-24,Dhanbad,7,2,0, 0,0
2020-05-24,Dumka,2,2,0, 0,0
2020-05-24,East Singhbhum,24,0,0,4,0
2020-05-24,Garhwa,50,3,0,3,0
2020-05-24,Giridih,16,3,0, 0,2
2020-05-24,Godda,1,1,0, 0,0
2020-05-24,Gumla,10,0,0, 0,0
2020-05-24,Hazaribagh,45,3,0,4,0
2020-05-24,Jamtara,2,2,0, 0,0
2020-05-24,Koderma,29,1,1,3,0
2020-05-24,Latehar,4,0,0, 0,0
2020-05-24,Lohardaga,2,0,0, 0,0
2020-05-24,Palamu,15,15,0, 0,0
2020-05-24,Ramgarh,9,0,0,3,0
2020-05-24,Ranchi,115,100,2,1,5
2020-05-24,Saraikela-Kharsawan,4,0,0, 0,0
2020-05-24,Simdega,7,2,0, 0,0
2020-05-24,West Singhbhum,6,0,0,2,0
2020-05-25,Bokaro,17,9,1,2,0
2020-05-25,Chatra,2,0,0, 0,0
2020-05-25,Deoghar,5,5,0, 0,0
2020-05-25,Dhanbad,7,2,0, 0,0
2020-05-25,Dumka,2,2,0, 0,0
2020-05-25,East Singhbhum,25,0,0,1,0
2020-05-25,Garhwa,52,3,0,2,0
2020-05-25,Giridih,16,3,0, 0,0
2020-05-25,Godda,1,1,0, 0,0
2020-05-25,Gumla,10,0,0, 0,0
2020-05-25,Hazaribagh,45,3,0, 0,0
2020-05-25,Jamtara,2,2,0, 0,0
2020-05-25,Koderma,29,1,1, 0,0
2020-05-25,Latehar,4,0,0, 0,0
2020-05-25,Lohardaga,2,0,0, 0,0
2020-05-25,Palamu,15,15,0, 0,0
2020-05-25,Ramgarh,10,0,0,1,0
2020-05-25,Ranchi,125,100,2,10,0
2020-05-25,Saraikela-Kharsawan,4,0,0, 0,0
2020-05-25,Simdega,7,2,0, 0,0
2020-05-25,Unknown,19,0,0,19,0
2020-05-25,West Singhbhum,6,0,0, 0,0
2020-05-26,Bokaro,17,9,1, 0,0
2020-05-26,Chatra,1,0,0,-1,0
2020-05-26,Deoghar,5,5,0, 0,0
2020-05-26,Dhanbad,11,2,0,4,0
2020-05-26,Dumka,2,2,0, 0,0
2020-05-26,East Singhbhum,28,0,0,3,0
2020-05-26,Garhwa,55,3,0,3,0
2020-05-26,Giridih,16,3,0, 0,0
2020-05-26,Godda,1,1,0, 0,0
2020-05-26,Gumla,11,0,0,1,0
2020-05-26,Hazaribagh,48,8,0,3,5
2020-05-26,Jamtara,2,2,0, 0,0
2020-05-26,Khunti,1,0,0,1,0
2020-05-26,Koderma,31,1,1,2,0
2020-05-26,Latehar,9,0,0,5,0
2020-05-26,Lohardaga,2,0,0, 0,0
2020-05-26,Pakur,4,0,0,4,0
2020-05-26,Palamu,17,15,0,2,0
2020-05-26,Ramgarh,11,0,0,1,0
2020-05-26,Ranchi,126,100,2,1,0
2020-05-26,Saraikela-Kharsawan,4,0,0, 0,0
2020-05-26,Simdega,10,2,0,3,0
2020-05-26,Unknown,0,0,0,-19,0
2020-05-26,West Singhbhum,14,0,0,8,0
2020-05-27,Bokaro,17,9,1, 0,0
2020-05-27,Chatra,1,0,0, 0,0
2020-05-27,Deoghar,5,5,0, 0,0
2020-05-27,Dhanbad,11,2,0, 0,0
2020-05-27,Dumka,2,2,0, 0,0
2020-05-27,East Singhbhum,28,0,0, 0,0
2020-05-27,Garhwa,55,3,0, 0,0
2020-05-27,Giridih,16,3,0, 0,0
2020-05-27,Godda,1,1,0, 0,0
2020-05-27,Gumla,11,0,0, 0,0
2020-05-27,Hazaribagh,53,8,0,5,0
2020-05-27,Jamtara,2,2,0, 0,0
2020-05-27,Khunti,1,0,0, 0,0
2020-05-27,Koderma,31,1,1, 0,0
2020-05-27,Latehar,10,0,0,1,0
2020-05-27,Lohardaga,2,0,0, 0,0
2020-05-27,Pakur,4,0,0, 0,0
2020-05-27,Palamu,17,15,0, 0,0
2020-05-27,Ramgarh,11,0,0, 0,0
2020-05-27,Ranchi,126,100,2, 0,0
2020-05-27,Saraikela-Kharsawan,4,0,0, 0,0
2020-05-27,Simdega,10,2,0, 0,0
2020-05-27,West Singhbhum,15,0,0,1,0
2020-05-28,Bokaro,17,9,1, 0,0
2020-05-28,Chatra,1,0,0, 0,0
2020-05-28,Deoghar,5,5,0, 0,0
2020-05-28,Dhanbad,11,2,0, 0,0
2020-05-28,Dumka,2,2,0, 0,0
2020-05-28,East Singhbhum,28,0,0, 0,0
2020-05-28,Garhwa,55,3,0, 0,0
2020-05-28,Giridih,16,3,0, 0,0
2020-05-28,Godda,1,1,0, 0,0
2020-05-28,Gumla,13,0,0,2,0
2020-05-28,Hazaribagh,53,8,0, 0,0
2020-05-28,Jamtara,2,2,0, 0,0
2020-05-28,Khunti,1,0,0, 0,0
2020-05-28,Koderma,31,1,1, 0,0
2020-05-28,Latehar,10,0,0, 0,0
2020-05-28,Lohardaga,2,0,0, 0,0
2020-05-28,Pakur,4,0,0, 0,0
2020-05-28,Palamu,17,15,0, 0,0
2020-05-28,Ramgarh,11,0,0, 0,0
2020-05-28,Ranchi,130,100,2,4,0
2020-05-28,Saraikela-Kharsawan,4,0,0, 0,0
2020-05-28,Simdega,10,2,0, 0,0
2020-05-28,West Singhbhum,15,0,0, 0,0
2020-05-29,Bokaro,22,14,1,5,5
2020-05-29,Chatra,1,1,0, 0,1
2020-05-29,Deoghar,5,5,0, 0,0
2020-05-29,Dhanbad,17,4,0,6,2
2020-05-29,Dumka,2,2,0, 0,0
2020-05-29,East Singhbhum,52,1,0,24,1
2020-05-29,Garhwa,57,35,0,2,32
2020-05-29,Giridih,17,3,1,1,0
2020-05-29,Godda,1,1,0, 0,0
2020-05-29,Gumla,20,0,0,7,0
2020-05-29,Hazaribagh,65,20,0,12,12
2020-05-29,Jamtara,2,2,0, 0,0
2020-05-29,Khunti,3,0,0,2,0
2020-05-29,Koderma,41,6,1,10,5
2020-05-29,Latehar,10,4,0, 0,4
2020-05-29,Lohardaga,3,0,0,1,0
2020-05-29,Pakur,4,0,0, 0,0
2020-05-29,Palamu,17,15,0, 0,0
2020-05-29,Ramgarh,24,0,0,13,0
2020-05-29,Ranchi,129,101,2,-1,1
2020-05-29,Saraikela-Kharsawan,4,0,0, 0,0
2020-05-29,Simdega,10,2,0, 0,0
2020-05-29,West Singhbhum,15,0,0, 0,0
2020-05-30,Bokaro,22,14,1, 0,0
2020-05-30,Chatra,1,1,0, 0,0
2020-05-30,Deoghar,5,5,0, 0,0
2020-05-30,Dhanbad,30,4,0,13,0
2020-05-30,Dumka,2,2,0, 0,0
2020-05-30,East Singhbhum,96,1,0,44,0
2020-05-30,Garhwa,59,48,0,2,13
2020-05-30,Giridih,17,3,1, 0,0
2020-05-30,Godda,1,1,0, 0,0
2020-05-30,Gumla,21,0,0,1,0
2020-05-30,Hazaribagh,69,20,0,4,0
2020-05-30,Jamtara,2,2,0, 0,0
2020-05-30,Khunti,5,0,0,2,0
2020-05-30,Koderma,41,25,1, 0,19
2020-05-30,Latehar,10,4,0, 0,0
2020-05-30,Lohardaga,3,2,0, 0,2
2020-05-30,Pakur,5,0,0,1,0
2020-05-30,Palamu,18,15,0,1,0
2020-05-30,Ramgarh,24,0,0, 0,0
2020-05-30,Ranchi,129,106,2, 0,5
2020-05-30,Sahibganj,1,0,0,1,0
2020-05-30,Saraikela-Kharsawan,4,0,0, 0,0
2020-05-30,Simdega,14,2,0,4,0
2020-05-30,West Singhbhum,15,1,0, 0,1
2020-05-31,Bokaro,22,14,1, 0,0
2020-05-31,Chatra,1,1,0, 0,0
2020-05-31,Deoghar,5,5,0, 0,0
2020-05-31,Dhanbad,53,4,0,23,0
2020-05-31,Dumka,2,2,0, 0,0
2020-05-31,East Singhbhum,106,1,0,10,0
2020-05-31,Garhwa,59,48,0, 0,0
2020-05-31,Giridih,17,3,1, 0,0
2020-05-31,Godda,1,1,0, 0,0
2020-05-31,Gumla,21,0,0, 0,0
2020-05-31,Hazaribagh,72,20,0,3,0
2020-05-31,Jamtara,2,2,0, 0,0
2020-05-31,Khunti,5,0,0, 0,0
2020-05-31,Koderma,41,25,1, 0,0
2020-05-31,Latehar,10,4,0, 0,0
2020-05-31,Lohardaga,4,2,0,1,0
2020-05-31,Pakur,5,0,0, 0,0
2020-05-31,Palamu,18,15,0, 0,0
2020-05-31,Ramgarh,25,0,0,1,0
2020-05-31,Ranchi,130,106,2,1,0
2020-05-31,Sahibganj,3,0,0,2,0
